id,rate
15009,195.6228
16001,340.9888
16003,0.0
16005,83.347
16007,15.4882
16009,26.4422
16011,95.0649
16013,30.0748
16015,15.0128
16017,62.3775
16019,130.3476
16021,24.1538
16023,0.0
16025,0.0
16027,284.4002
16029,14.3577
16031,56.496
16033,0.0
16035,17.124
16037,0.0
16039,41.7504
16041,23.4378
16043,25.734
16045,23.6124
16047,40.6728
16049,56.7525
16051,45.9357
16053,34.227
16055,176.7912
16057,57.6165
16059,20.8602
16061,0.0
16063,0.0
16065,22.8228
16067,54.8721
16069,96.0168
16071,0.0
16073,23.8413
16075,29.6868
16077,14.4723
16079,33.453
16081,0.0
16083,153.7366
16085,19.652
16087,28.0588
17001,66.988
17003,14.2348
17005,32.8111
17007,64.6428
17009,0.0
17011,40.608
17013,0.0
17015,44.145
17017,26.312
17019,165.7064
17021,74.5624
17023,38.832
17025,33.8
17027,60.5712
17029,79.98
17031,3147.8736
17033,34.9074
17035,24.9159
17037,116.0082
17039,27.6828
17041,21.8779
17043,373.0832
17045,32.1138
17047,19.851
17049,61.776
17051,37.179
17053,26.0072
17055,78.822
17057,54.0105
17059,14.8148
17061,33.585
17063,70.595
17065,0.0
17067,37.128
17069,0.0
17071,13.832
17073,74.4525
17075,57.758
17077,77.5801
17079,15.3968
17081,73.2146
17083,40.6278
17085,44.508
17087,17.6414
17089,316.3836
17091,144.7875
17093,84.945
17095,52.069
17097,352.593
17099,144.6133
17101,31.3861
17103,38.2085
17105,68.2254
17107,44.619
17109,31.88
17111,245.8264
17113,121.8427
17115,97.515
17117,65.0342
17119,346.528
17121,57.8565
17123,19.2224
17125,26.4062
17127,22.3575
17129,21.369
17131,20.7285
17133,43.8386
17135,49.9103
17137,55.8864
17139,31.1577
17141,93.753
17143,168.5871
17145,41.1768
17147,18.0741
17149,22.4308
17151,0.0
17153,13.3745
17155,0.0
17157,95.3201
17159,28.9098
17161,102.2441
17163,292.3019
17165,34.4568
17167,238.7964
17169,13.927
17171,0.0
17173,48.5056
17175,0.0
17177,51.0785
17179,122.1363
17181,27.9152
17183,111.6192
17185,25.4078
17187,33.9606
17189,25.8066
17191,16.543
17193,25.8732
17195,62.5636
17197,479.7933
17199,107.2128
17201,317.3962
17203,50.9431
18001,48.7074
18003,292.7344
18005,112.3038
18007,20.88
18009,19.8416
18011,61.915
18013,13.4658
18015,35.8614
18017,53.8132
18019,125.6882
18021,58.4364
18023,58.9968
18025,38.358
18027,58.9122
18029,69.3084
18031,58.3528
18033,55.0979
18035,117.074
18037,55.0485
18039,242.3652
18041,21.1212
18043,60.9432
18045,46.6424
18047,45.868
18049,47.15
18051,60.7662
18053,75.4259
18055,65.452
18057,151.3115
18059,64.7802
18061,82.5279
18063,140.4504
18065,63.6935
18067,107.8766
18069,36.706
18071,69.928
18073,80.34
18075,40.2401
18077,42.2422
18079,81.2
18081,147.538
18083,56.907
18085,102.1332
18087,61.4976
18089,490.228
18091,178.3104
18093,100.5488
18095,156.0828
18097,934.243
18099,84.7926
18101,15.3045
18103,64.7172
18105,114.6712
18107,57.219
18109,76.6623
18111,45.2992
18113,76.1888
18115,0.0
18117,27.4764
18119,54.5194
18121,36.1893
18123,23.3448
18125,32.8224
18127,167.076
18129,30.648
18131,28.5274
18133,41.3798
18135,43.1528
18137,39.8958
18139,21.9596
18141,214.0944
18143,47.424
18145,84.7001
18147,41.602
18149,71.5294
18151,51.462
18153,56.835
